operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,8,127,123,01111111,01111011,15621,00000101,True,0.937
mul,8,127,124,01111111,01111100,15748,10000100,True,0.781
mul,8,127,125,01111111,01111101,15875,00000011,True,0.469
mul,8,127,126,01111111,01111110,16002,10000010,True,0.625
mul,8,127,127,01111111,01111111,16129,00000001,True,0.417
div,8,127,1,01111111,00000001,127.000,,False,0.625
div,8,127,2,01111111,00000010,63.500,,False,0.521
div,8,127,3,01111111,00000011,42.333,,False,0.468
div,8,127,4,01111111,00000100,31.750,,False,0.573
div,8,127,5,01111111,00000101,25.400,,False,0.677
fact,8,123,0,01111011,00000000,0,00000000,False,1.927
fact,8,124,0,01111100,00000000,0,00000000,False,1.666
fact,8,125,0,01111101,00000000,0,00000000,False,1.771
fact,8,126,0,01111110,00000000,0,00000000,False,1.614
fact,8,127,0,01111111,00000000,0,00000000,False,1.823
