operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,16,32767,32763,0111111111111111,0111111111111011,1073545221,0000000000000101,True,0.886
mul,16,32767,32764,0111111111111111,0111111111111100,1073577988,1000000000000100,True,0.885
mul,16,32767,32765,0111111111111111,0111111111111101,1073610755,0000000000000011,True,0.521
mul,16,32767,32766,0111111111111111,0111111111111110,1073643522,1000000000000010,True,0.781
mul,16,32767,32767,0111111111111111,0111111111111111,1073676289,0000000000000001,True,0.677
div,16,32767,1,0111111111111111,0000000000000001,32767.000,,False,0.521
div,16,32767,2,0111111111111111,0000000000000010,16383.500,,False,0.417
div,16,32767,3,0111111111111111,0000000000000011,10922.333,,False,0.416
div,16,32767,4,0111111111111111,0000000000000100,8191.750,,False,0.313
div,16,32767,5,0111111111111111,0000000000000101,6553.400,,False,0.781
fact,16,32763,0,0111111111111011,0000000000000000,0,0000000000000000,False,506.249
fact,16,32764,0,0111111111111100,0000000000000000,0,0000000000000000,False,355.989
fact,16,32765,0,0111111111111101,0000000000000000,0,0000000000000000,False,359.947
fact,16,32766,0,0111111111111110,0000000000000000,0,0000000000000000,False,351.458
fact,16,32767,0,0111111111111111,0000000000000000,0,0000000000000000,False,355.52
