operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,8,127,123,01111111,01111011,5,00000101,True,21
mul,8,127,124,01111111,01111100,-124,10000100,True,21
mul,8,127,125,01111111,01111101,3,00000011,True,21
mul,8,127,126,01111111,01111110,-126,10000010,True,27
mul,8,127,127,01111111,01111111,1,00000001,True,22
div,8,127,1,01111111,00000001,127,01111111,False,2
div,8,127,2,01111111,00000010,63,00111111,False,2
div,8,127,3,01111111,00000011,42,00101010,False,2
div,8,127,4,01111111,00000100,31,00011111,False,3
div,8,127,5,01111111,00000101,25,00011001,False,2
fact,8,123,0,01111011,00000000,0,00000000,True,22
fact,8,124,0,01111100,00000000,0,00000000,True,21
fact,8,125,0,01111101,00000000,0,00000000,True,22
fact,8,126,0,01111110,00000000,0,00000000,True,22
fact,8,127,0,01111111,00000000,0,00000000,True,22
