operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,16,32767,32763,0111111111111111,0111111111111011,5,0000000000000101,True,3922
mul,16,32767,32764,0111111111111111,0111111111111100,-32764,1000000000000100,True,3922
mul,16,32767,32765,0111111111111111,0111111111111101,3,0000000000000011,True,3922
mul,16,32767,32766,0111111111111111,0111111111111110,-32766,1000000000000010,True,3922
mul,16,32767,32767,0111111111111111,0111111111111111,1,0000000000000001,True,4392
div,16,32767,1,0111111111111111,0000000000000001,32767,0111111111111111,False,3
div,16,32767,2,0111111111111111,0000000000000010,16383,0011111111111111,False,2
div,16,32767,3,0111111111111111,0000000000000011,10922,0010101010101010,False,3
div,16,32767,4,0111111111111111,0000000000000100,8191,0001111111111111,False,3
div,16,32767,5,0111111111111111,0000000000000101,6553,0001100110011001,False,3
fact,16,32763,0,0111111111111011,0000000000000000,0,0000000000000000,True,4738
fact,16,32764,0,0111111111111100,0000000000000000,0,0000000000000000,True,4745
fact,16,32765,0,0111111111111101,0000000000000000,0,0000000000000000,True,4745
fact,16,32766,0,0111111111111110,0000000000000000,0,0000000000000000,True,4739
fact,16,32767,0,0111111111111111,0000000000000000,0,0000000000000000,True,4745
